,Model,Series,Display Size (Inch),Shape,Display Type,Display Resolution,Response Time (ms),Refresh Rate (Hz),Viewing Angle,VGA Port,Brightness (cd/m2),Contrast Ratio (TCR/DCR),Others,Color,Part No,Warranty,Made in/ Assemble,Country Of Origin,Display Port,Specialty,Dimensions,HDMI Port,Aspect Ratio,DVI Port,Speaker (Built-in),USB Port,FreeSync,Touch Screen,Remote,Thunderbolt,Regular Price,Special Price
104,Asus ProArt PA24AC,Regular,24,Widescreen,WUXGA IPS Display,1920x1200 (WxH) WUXGA,5ms (Gray to Gray),30-85kHz (H) / 48-70Hz (V),178 degree (H & V),,350cd/m2,"1000:1 (typical), 8000:1 (HDR), 100000000:1 (ASCR)","Color Saturation: 100%(sRGB), Panel Type: IPS, Display Viewing Area(HxV): 518.4 x 324 mm, Display Colors: 16.7M (real 8 bit), HDR (High Dynamic Range) Support: Yes, Flicker free: Yes, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Color Temperature Selection: 4 Modes, Color Adjustment: 6-axis adjustment(R,G,B,C,M,Y), QuickFit (modes): Yes, Picture-in-Picture: Yes, Picture-by-Picture: Yes, Low Blue Light: Yes, HDCP support: Yes, 1.4 & 2.2, Adaptive-Sync supported: Yes, Earphone jack: 3.5mm Mini-Jack, Power Supply: 100-240V, 50/60Hz, Power On (Typical): < 21W, Security: Kensington lock, Weight: 6.5Kg, USP: HDR-10, 100% sRGB, Hardware Calibration, USB-C???, VESA DisplayHDR 400???, Key Feature: IPS, FHD, 5ms, 16.7M, HDR, HDMI, DisplayPort, USB Type-C, USB ports, Height Adjustment, VESA Wall Mounting, Frameless Design, Quick Release Stand Design",Black,PA24AC,3 year,China,Taiwan,1,"HDR Professional Monitor, Flicker free, Trace Free Technology, 8 Modes SPLENDID Video Preset (sRGB Mode/Rec. 709 Mode/Scenery Mode/Standard Mode/User Mode 1/User Mode 2/Reading Mode/Darkroom Mode), 4 Modes Color Temperature Selection, Picture-in-Picture, Picture-by-Picture, Low Blue Light, HDCP support, Adaptive-Sync supported, frameless design, Support HDR-10 presents HDR (High Dynamic Range) performance, Extreme clarity, superior contrast","532 x (378-488) x 202mm (with Stand), 532 x 349 x 55mm (without Stand)",2,16:10,,2W x 2 Stereo RMS,"1 x USB3.0 Type C (Upstream), 4 x USB3.0 Type-A",,,,,61300,57500
105,Dell Alienware AW2518H,Gaming,25,Widescreen,,1920x1080 (WxH) FHD,1ms,240Hz,"170 degree (H), 160 degree (V)",,400cd/m2,1000:1,"Panel Type: TN, 72% (CIE 1931) color gamut, 72% (CIE 1976) color gamut, 82% (CIE 1976) color gamut, Adaptive-Sync Technology: NVIDIA G-SYNC, Audio Output: Yes, Power Voltage: AC 120/230 V (50/60 Hz), Weight: 3.49Kg (Without stand)",,,3 year,,,1,"Alienware 25 Gaming Monitor, Responsive gameplay and rapid refresh, Slim bezels, Seamless gaming, Dynamic on-screen display","556.26 x 419.1 x 269.24mm (With stand), 556.26 x 327.66 x 63.5mm (Without stand)",1,16:9,,,"4 x USB Type-A Downstream, 1 x USB Type-B Upstream",,,,,62390,58000
106,BenQ EX3203R,Gaming,32,Curved,2K QHD LED,2560 x 1440 Pixels,4ms (Gray to Gray),144Hz,178 degree (H & V),,400cd/m2,"3000:1 (Typical), 20,000,000:1 (DCR)","Backlight Technology: LED backlight, Color Gamut: 90% DCI-P3, Display Area(mm): 27.45 x 15.44mm, Curvature: 1800R, Color Temperature: Reddish/Normal/Bluish/User mode, HDR: HDR10, HDCP: 2.2, AMA: Yes, ZeroFlicker Technology: Yes, Low Blue Light: Yes, Brightness Intelligence Plus (B.I.+): Yes, Super Resolution: Yes, Freesync Premium Pro: Yes, Voltage Rating: 100 - 240V, Power Supply: Adapter",Gray,EX3203R,3 year,China,Taiwan,1,"2K QHD HDR Curved Gaming Monitor, 90% DCI-P3 with HDR and FreeSync 2 for defined and smooth images, USB Type-C One-Cable Connectivity, HDR technology enhances brightness and contrast for incredible detail and clarity in HDR video content, VA Panel HDR Support, High-Contrast Clarity, Wide Viewing Angles, Ultra-slim bezels with edge-to-edge panels, Immersive Gaming, Brightness Intelligence Plus, Low Blue Light, Flicker-free",21.10 x 28.06 x 8.81mm,2,16:9,,,1 x USB Type-C,,,,,64020,59500
107,BenQ EX2780Q,Gaming,27,Widescreen,2K QHD LED,2560x1440 (WxH) WQHD,5ms (Gray to Gray),144Hz,178 degree (H & V),,350cd/m2,"1,000:1 (typical), 20,000,000:1 (DCR)","Backlight Technology: LED backlight, Color Gamut: 95% DCI-P3, Display Area(mm): 596.736 x 335.664mm, Color Temperature: Reddish/Normal/Bluish/User mode, HDCP: 2.2, AMA: Yes, Flicker-free Technology: Yes, Low Blue Light: Yes, Brightness Intelligence Plus (B.I.+): Yes, Smart focus: Yes, Super Resolution: Yes, FreeSync: Yes, Voltage Rating: 90 - 264V, Power Supply: Built-in, Remote: Yes",Metalic Grey,EX2780Q,3 year,China,Taiwan,1,"144Hz Gaming Monitor with HDRi Technology, Wide gamut space with HDR and FreeSync for utmost and smooth image, USB-C One-Cable Connectivity, HDRi Brings Your Audiovisual Experience Up to a Brand-New Level, Wider color space, more life-like images, Larger onscreen space for better visual experience, Natural motion flow, Better, smoother image for higher-speed games, No tearing for smooth gaming, Game Up with Visual Edge, Black eQualizer, Color Vibrance, 5-key Navigator, Awed and Immersed with Striking Sounds, Brightness Intelligence Plus Technology",614 x 459.65 x 196mm,2,16:9,,2Watt x 2 + 5Watt,1 x USB Type-C,,,Yes,,63910,59900
108,Asus PB287Q,Regular,28,Widescreen,4K UHD,3840x2160 (WxH) 4K UHD,1ms,60Hz,"170 degree (H), 160 degree (V)",,300cd/m2,100000000:1,"1 x DisplayPort, USP: 1ms, See every detail in 28 inch true 4K display with 157 pixels per inch, and 10-bit color, Key Feature: TN, 1073.7M, HDMI, HDMI/MHL, DisplayPort, Flicker free, Height Adjustment, VESA Wall Mounting",Black,,3 year,China,Taiwan,1,"Height Adjustment : Yes, VESA Wall Mounting : 100 x 100mm",,2,16:9,,2W x 2 Stereo RMS,,,,,,66550,61000
109,ASUS MG279Q,Gaming,27,Widescreen,2.5K WQHD Display,2560x1440 (WxH) WQHD,4ms (Gray to Gray),144Hz,178 degree (H & V),,350cd/m2,"1000:1 (Typical), 100000000:1 (ASCR)","1 x Mini DisplayPort 1.2, Color Saturation: 100%(sRGB), Panel Backlight / Type: In-Plane Switching, Display Surface: Non-glare, Display Colors: 16.7M, Flicker free: Yes, Trace Free Technology: Yes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes (Crosshair/Timer), Low Blue Light: Yes, VividPixel: Yes, GameVisual: 6 Modes, FreeSync technology support: Yes, Dual Stereo RMS Speakers, Chassis Colors: Black, Tilt: +20degree~-5degree, Swivel: +60degree~+60degree, Pivot: 0degree~+90degree, Super Narrow Bezel Design: Yes, Quick Release Stand Design: Yes, Security: Kensington lock, Weight: 7.3Kg",Black,,3 year,,,1,"27-inch, WQHD display with IPS technology provide wide-viewing angles, and clear, vivid visuals, 144Hz refresh rate and AMD FreeSync technology for seamless visuals and smooth gameplay, ASUS-exclusive Ultra-Low Blue Light, Flicker-Free, GamePlus, and GameVisual technologies provide a comfortable gaming experience, Ergonomically-designed stand with full tilt, swivel, pivot, and height adjustment for comfortable viewing position, In-plane switching technology for consistent, accurate color","625 x 559 x 238mm (with Stand), 625 x 368 x 63mm (without Stand)",2,16:9,,2W x 2,1 x USB3.0,,,,,70530,65500
110,HP EliteDisplay E324q,Regular,31.5,Widescreen,2K QHD LED,2560x1440 (WxH) WQHD,7ms (Gray to Gray),60Hz,178 degree (H & V),,350cd/m2,"3000:1 (Static), 10000000:1 (Dynamic)","Panel Active Area: 697.3 x 392.2mm, Power Input voltage: 100 to 240 VAC, Power consumption: 95 W (maximum), 55 W (typical), 0.3 W (standby), Weight: 10.3Kg (With stand)",Sparkling Black,,3 year,China,USA,1,"Anti-glare, LED backlights, Plug and Play, User controls, Arsenic-free display glass, Low halogen, Mercury-free display backlights, TCO Certified, A surprisingly thin Quad HD display big enough for every task, Get broad device compatibility with ports that include USB-C for easy pairing with a range of HP PCs, Comfortable from every angle, Save precious workspace, Filter blue light emission and shift colors to a warmer spectrum for more comfortable viewing with HP Low Blue Light mode",714 x 47.5 x 419.4mm (Without stand),1,16:9,,,"1 x USB Type-C, 4 x USB3.1 (1 x upstream, 3 x downstream)",,,,,69980,65500
111,Asus SD434-YB,Regular,43,Widescreen,FHD LED,1920x1080 (WxH) FHD,,60Hz,178 degree (H & V),1,350cd/m2,,"Category: Regular Signage, Instant Signage, Active Area (X-Length x Y-Length): 940.9 x 529.25 mm, Component : RCA x 1 Set, CVBS : via Component-Y x 1, Audio Input: 3.5mm jack x 1 (Stereo), RCA x 1 pair (Separate Channel), Audio Output: RCA x 1 pair (Separate Channel), Network Controller: RJ45, Serial Bus Controller: RS232 in/out, Wireless Controller : IR remote, Multimedia Formats Supported: AVI, MP4, MOV, MPG/MPEG (Video), MP3, WMA, M4A, AAC, AC3 (Audio), JPEG, BMP, GIF (Picture), Features: Built-in Media Player, RS232, RJ45, Power Consumption: 132W (with Audio full output) Operating (max.), 0.5W Stand-by (max.), Wall Mounting: 400 x 400mm, Weight: 8.7Kg, USP: Plug N Play capabilities with diverse multimedia format support with IR remote Controller, Key Feature: 43 inch, Full HD, 60 Hz, D-Sub (RGB), DVI-D, HDMI, USB Ports, Built-in speakers, Wall Mounting",Black,,3 year,,,,"43 Inch Plug N Play Digital Signage/Commercial Display, RCA, D-Sub (RGB), DVI-D, HDMI, 3.5mm Jack, Built-in Speaker, USB, Media Player, RJ45, RS232 in/out, IR Remote, Wall Mount, 178degree wide-view angle panel for bright and colorful Full HD visuals, Built-in media player supports a variety of commonly-used media formats, Plug-and-play through an USB drive, RS-232 port allows to manage multiple signage installations through a linked connection, Clear audio through built-in 10-watts stereo speakers, Seamless Vision for Impactful Messaging, Remote Network Control, Vivid Visuals Even from Extreme Angles, Commercial Display Monitor",,1,,1,10Watt x 2,1 x USB2.0,,,,,71830,66800
112,ASUS PB27UQ,Regular,27,Widescreen,4K Ultra HD IPS LED,3840x2160 (WxH) 4K UHD,5ms (Gray to Gray),23-80Hz (V),178 degree (H & V),,300cd/m2,100000000:1 (ASCR),"Color Saturation: 100%(sRGB), Panel Backlight / Type: In-Plane Switching, Display Viewing Area(HxV): 596.16 x 335.34mm, Display Surface: Non-glare, Pixel Pitch: 0.155 mm, Display Colors: 1.07 Billion, Flicker free, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, QuickFit (modes): Yes, GamePlus(modes): Yes, Picture-in-Picture: Yes, Picture-by-Picture: Yes, HDMI Version: 1 x HDMI v2.0a, 2 x HDMI v1.4, HDCP support: Yes, VividPixel: Yes, PC Audio Input: 3.5mm Mini-Jack, Earphone jack: 3.5mm Mini-Jack, Weight: 7.7Kg, USP: 4K UHD, 100% sRGB, 10-bit color, Key Feature: IPS, 4K UHD, Stereo Speakers, HDMI, DisplayPort, Height Adjustment, VESA Wall Mounting",Black,PB27UQ,3 year,China,Taiwan,1,"Flicker free, Trace Free Technology, 8 SPLENDID Video Preset Modes, 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, Letter/ A4/ B5/ Alignment Grid/ Photo QuickFit Modes, Crosshair/Timer GamePlus modes, Picture-in-Picture, Picture-by-Picture, HDCP support, VividPixel, Blue Light Filter, 100% sRGB, 10-bit color and 178-degree wide-viewing angle, Impeccable 4K Ultra-high Definition Visuals, Phenomenal Pixel-perfect Detail, In-Plane Switching Display Technology for Superior Image Reproduction from any Angle, Welcoming Prosumers and Gamers Alike to the 4K UHD Club","624.96 x 368.23 x 58.8mm (without Stand), 624.96 x 557.76 x 220.06mm (with Stand)",3,16:9,,2W x 2,,,,,,72700,67000
113,Asus ROG Strix XG32VQR,Gaming,32,Curved,2.5K WQHD Display,2560x1440 (WxH) WQHD,4ms (Gray to Gray),144Hz,178 degree (H & V),,450cd/m2,3000:1 (Max),"Color Saturation: 125%(sRGB), Panel Type: VA, Display Viewing Area(HxV): 697.344 x 392.256mm, Display Surface: Non-glare, Pixel Pitch: 0.2724mm, Curved Panel: 1800R, HDR (High Dynamic Range) Support: Yes, Trace Free Technology: Yes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, GameVisual: 8 Modes, Convenient Hotkey: GamePlus, 5-way OSD Navigation Joystick, GameVisual, Earphone jack: 3.5mm Mini-Jack, Voltage: 100-240V, 50 / 60Hz, Power Consumption: <43 W, Security: Kensington lock, Weight: 9.6Kg (with Stand), 5.9Kg (without Stand), USP: WQHD, 144Hz, Freesync Premium Pro, DisplayHDR 400, DCI-P3 94%, 1800R curved HDR gaming monitor with 144Hz refresh rate, Key Feature: VA, 4ms, Shadow Boost, HDMI, DisplayPort, USB Port, Height Adjustment, VESA Wall Mounting, Super Narrow Bezel Design, Aura Sync lighting effect",Black,,3 year,China,Taiwan,1,"Curved HDR Gaming Monitor, 1800R curved HDR gaming monitor with 144Hz refresh rate for super-smooth gaming visuals, High Dynamic Range (HDR) technology with DCI-P3 94% professional color gamut delivers contrast and color performance that meets DisplayHDR 400 certification, Radeon FreeSync 2 HDR technology provides buttery-smooth gameplay, low latency, and better brightness and contrast, Shadow Boost enhances image details in dark areas, brightening scenes without over-exposing bright areas, Multiple HDR modes allow users to adjust settings based on usage such as gaming, content creation, or video display, THE SWEET SPOT FOR GAMING, AN IMMERSIVE GAMING ARENA, Flicker free, Trace Free Technology, 4 Mode Color Temperature Selection, GamePlus modes ()Crosshair/Timer/FPS Counter/Display Alignment), Low Blue Light, HDCP support, 8 Modes GameVisual (Scenery/Racing/Cinema/RTS/RPG/FPS/sRGB Modes/MOBA Mode/User Mode), FreeSync technology supported, Display Widget, GameFast Input technology, FreeSync 2 HDR technology, Shadow Boost","713.38 x (490.02-590.02) x 299.27mm (with Stand), 713.38 x 425.68 x 118.03mm (without Stand)",2,16:9,,,"2 x USB3.0, 1 x USB Upstream",,,,,71610,67000
114,ASUS ProArt PA27AC,Regular,27,Widescreen,2K WQHD LED,2560x1440 (WxH) WQHD,5ms (Gray to Gray),48-60Hz (V),178 degree (H & V),,400cd/m2,100000000:1 (ASCR),"Color Saturation: 100%(sRGB), Panel Type: IPS, Display Viewing Area(HxV): 608.6 x 348.3mm, Pixel Pitch: 0.233 mm, Display Colors: 16.7M (real 8 bit), Flicker free, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 7 Modes, Color Temperature Selection: 4 Modes, Gamma adjustment: Yes, Color Adjustment: 6-axis adjustment (R,G,B,C,M,Y), QuickFit (modes): Yes, Picture-in-Picture: Yes, Picture-by-Picture: Yes, Low Blue Light: Yes, HDMI Version: 1 x HDMI v2.0a, 2 x HDMI v1.4, HDCP support: Yes, 1.4 & 2.2, Adaptive-Sync supported: Yes, DisplayPort / Thunderbolt 3 ports, HDR (High Dynamic Range) Support: Yes, Earphone jack: 3.5mm Mini-Jack, Signal Input: 2 x Thunderbolt 3 USB-C, Weight: 8.5Kg, USP: HDR-10, 100% of sRGB, color accuracy AE < 2, Thunderbolt 3, Hardware Calibration???, Key Feature: IPS, WQHD, Thunderbolt 3, USB-C HDMI, DisplayPort, HDMI, Stereo Speakers, Height Adjustment, VESA Wall Mounting, Frameless Design, Quick Release Stand Design",Black,PA27AC,3 year,China,Taiwan,1,"Flicker free, Trace Free Technology, 7 SPLENDID Video Preset Modes (sRGB Mode/ Scenery Mode/ Standard Mode/ User Mode 1/ User Mode 2/ Reading Mode/ Darkroom Mode), 4 Modes Color Temperature Selection, A4/ B5/ Alignment Grid/ Ruler/ Customization QuickFit Modes, Low Blue Light, HDCP support, Adaptive-Sync supported, HDR (High Dynamic Range) Support, Dual Thunderbolt 3 USB-C, HDR Professional Monitor, Hardware Calibration","614 x 353 x 55mm (without Stand), 614 x (386 - 506) x 221mm (with Stand)",3,16:9,,2W x 2,"1 x USB3.0 Type-B (upstream), 2 x USB3.0 Type-A, 1 x USB3.0 Type-C (downstream)",,,,Yes,93850,86500
115,Asus ROG Swift PG27VQ,Gaming,27,Curved,,,1ms (Gray to Gray),165Hz,"170 degree (H), 160 degree (V)",,400cd/m2,1000:1,"Display Surface: Non-glare, Display Colors: 16.7M, LCD ZBD Warranty: Yes, Curved Panel: 1800R, Color Temperature Selection: 4 Modes, 3D Technology: Shutter Glasses 3D Technology, GamePlus(modes): Yes (Crosshair/Timer/FPS Counter/Display Alignment), HDCP support: Yes, GameVisual: 7 Modes(Scenery/Racing/Cinema/RTS/RPG/FPS/sRGB Modes/User Mode), Earphone jack: 3.5mm Mini-Jack, Chassis Colors: Armor titanium, Plasma copper",Black,null,3 year,,,1,"Overclockable Gaming Monitor, G-SYNC, Aura Sync Technology, Flicker free, Trace Free Technology, 3D Technology, Low Blue Light, Aura Sync lighting effect",,1,,,,1 x USB3.0,,,,,95480,88500
116,Asus PG27AQ ROG,Gaming,27,Widescreen,LED,3840x2160 (WxH) 4K UHD,4ms (Gray to Gray),60Hz,178 degree (H & V),,300cd/m2,1000:1,"Trace Free Technology : Yes, Low Blue Light : Yes, HDCP support : Yes, VESA Wall Mounting : 100 x 100mm, Super Narrow Bezel Design : Yes, USP: 1073.7M (10bit), 4K UHD, IPS, G-SYNC, Super Narrow Bezel Design, Key Feature: 4ms, HDMI, DisplayPort, USB Port(s), Height Adjustment, VESA Wall Mounting",Black,,3 year,China,Taiwan,1,WLED IPS 4K Nvidia G-Sync Gaming Monitor,,1,,,2W x 2,2 x USB3.0,,,,,96570,89000
117,LG 34UC89G-B,Gaming,34,Curved,UltraWide FHD IPS LED,2560x1080 (WxH),5ms (Gray to Gray),144Hz,178 degree (H & V),,300cd/m2,1000:1,"Color: Black, Panel Type: IPS, Color Gamut (CIE1931): sRGB over 99%, Color Depth(Number of Colors): 8bits, 16.7M, Pixel Pitch(mm): 0.312 x 0.310, Aspect Ratio: 21:9, Surface Treatment: Anti glare ,3H, Input Power: 100-240Vac, 50/60Hz, Picture Mode: (Game Mode) Gamer 1, Gamer 2, FPS1, FPS2, RTS, Reader, HDCP: Yes",Black,,3 year,,,1,"21:9 UltraWide Full HD Curved IPS Display, NVIDIA G-SYNC Technology, Dynamic Action Sync, OnScreen Control, 4 screen split, Reader Mode, Automatic Standby, Flicker Safe, Crosshair, Black Stabilizer, Overclock, Response Time Control, Key Lock",,1,,,,"1 x USB Up-stream, 2 x USB Down-stream",,,,,98190,91000
118,ASUS Designo Curved MX34VQ,Regular,34,Curved,Ultra-Wide QHD,3440x1440 (WxH),4ms (Gray to Gray),48 - 100Hz,178 degree (H & V),,300cd/m2,3000:1,"Panel Size: Ultra-wide Screen 21:9, Panel Type : VA, Display Surface: Non-glare, ASUS Smart Contrast Ratio (ASCR) : 100000000:1, Display Colors : 16.7M, Curved Panel : 1800R, Trace Free Technology : Yes, SPLENDID Video Preset Modes : 8 Modes, Skin-Tone Selection : 3 Modes, Color Temperature Selection : 4 Modes, GamePlus(modes) : Yes (Crosshair/Timer/FPS Counter), Picture-in-Picture : Yes, Picture-by-Picture : Yes, Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, AudioWizard Preset Sound modes : 4 Modes, Convenient Hotkey: 5-way OSD Navigation Joystick, Earphone jack : 3.5mm Mini-Jack, Frameless Design : Yes, Qi wireless charger, USP: UWQHD, 4ms, 100Hz, 1800R Curvature, Qi Wireless Charger, Audio by Harman Kardon, Key Feature: VA, 4K, Flicker Free, Blue Light Filter, Frameless Design, HDMI, DisplayPort",Black,MX34VQ,3 year,China,Taiwan,1,"Ultra-wide Curved (1800R) 100Hz Frameless Monitor with Qi Wireless Charger in base stand and Harman Kardon Audio, Blue Light Filter, 34-inch UWQHD display with 178 degree wide-view angle in frameless design for edge-to-edge brilliance, 8-Watts stereo speakers featured with Harman Kardon Audio and ASUS SonicMaster technologies, Up to 100Hz refresh rate for fluid and immersive gameplay, Qi Wireless Charger (5W/1A) designed in the base with aurora lighting on while charging Qi-enabled devices, ASUS Eye Care monitors feature TUV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience",810.6 x 456.8 x 239.7 mm (with Stand),3,,,8W x 2 Stereo,,,,,,117180,109000
119,ASUS ProArt PA328Q,Regular,32,Widescreen,4K UHD,3840x2160 (WxH) 4K UHD,6ms (Gray to Gray),24 - 76Hz,178 degree (H & V),,350cd/m2,100000000:1,"1 x Mini DisplayPort 1.2, Panel Size: Wide Screen 16:9, Panel Backlight / Type : In-Plane Switching, Display Surface: Non-glare, Pixel Pitch : 0.1845mm, Display Colors : 1073.7M (10bit), Look-up Table :12-bit, Trace Free Technology : Yes, Color Space : sRGB (100% Coverage)/Rec. 709 support, SPLENDID Video Preset Modes : 7 Modes, Color Temperature Selection : 4 Modes, Gamma adjustment : Yes (Support Gamma 1.8/2.2/2.4 ), Color Adjustment : 6-axis adjustment(R,G,B,C,M,Y), QuickFit (modes) : Yes, Picture-in-Picture : Yes, Picture-by-Picture : Yes, Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, VESA Wall Mounting : 100x100mm, Super Narrow Bezel Design : Yes, Quick Release Stand Design : Yes, Kensington lock",Black,,3 year,,,1,"4K UHD (3840x2160) Flicker free Professional IPS Monitor with 100% sRGB Accuracy and Dual 3W Speaker, Professional-grade 32-inch 4K/UHD display with four times the pixel density of Full HD displays, Factory pre-calibrated, industry-leading color accuracy with 100% sRGB and Rec. 709 color space support, Extensive connectivity with HDMI, DisplayPort 1.2, and MHL 3.0 for smooth 4K/UHD content playback, ASUS Eye Care Technology with T??V Rheinland-certified Flicker-free technology which eliminates onscreen flicker, SPLENDID Video Preset Modes (sRGB Mode/Scenery Mode/Standard Mode/User Mode 1/User Mode 2/Reading Mode/Darkroom Mode), QuickFit (Letter/A4/A3/ B4/B5/Alignment Grid/Photo Modes)",,2,,,3W x 2 Stereo,4 x USB3.0,,,,,135630,125000
120,Asus PG348Q-ROG Gaming,Gaming,34,Curved,QHD LED,3440x1440 (WxH),5ms,,178 degree (H & V),,300cd/m2,1000:1,"Display Surface: Non-glare, Pixel Pitch : 0.2325mm, Viewing Angle (CR???10) : 178 degree(H)/178 degree(V), Display Colors : 1073.7M (10bit), Curved Panel : 3800R, Interface: 1 x DisplayPort, Earphone jack : 3.5mm Mini-Jack , USB Port(s) : 3.0x4, 1 x upstream, VESA Wall Mounting : 100 x 100mm, Quick Release Stand Design : Yes, HDCP support : Yes, GamePlus(modes) : Yes (Crosshair/Timer/FPS Counter), Color Temperature Selection : 4 Modes, USP: IPS, 21:9 Ultra-wide QHD, NVIDIA G-SYNC display technology and a 100Hz refresh rate for incredibly-smooth and fast gaming visuals, Key Feature: Curved Panel : 3800R, 16.7M, Stereo Speakers, HDMI, DisplayPort, USB Port(s), Height Adjustment, VESA Wall Mounting, Frameless Design, Quick Release Stand Design",Black,,3 year,China,Taiwan,,,,1,,,2W x 2 Stereo RMS,,,,,,134540,125000
121,Asus ProArt PA329C,Professional,32,Widescreen,4K UHD IPS LED,3840x2160 (WxH) 4K UHD,5ms (Gray to Gray),"30-135KHz (H), 24-76Hz (V)",178 degree (H & V),,400cd/m2,"1000:1 (typical), 1000000:1 (HDR)","Color Saturation: 98% DCI-P3, 100% Adobe RGB, 100% sRGB and 84% Rec.2020, Panel Type: IPS, Display Viewing Area(HxV): 708.48 x 398.52mm, Display Surface: Non-glare, Pixel Pitch: 0.1845mm, Display Colors: 1073.7M (10bit), Flicker free: Yes, LCD ZBD Warranty: Yes, Look-up Table: 14-bit, DICOM Calibration: Yes, HDR (High Dynamic Range) Support: Yes (HDR-10 ), ProArt Preset: 9 Modes, Color Temperature Selection: 4 Modes, Gamma adjustment: Yes, Color Adjustment: 6-axis adjustment (R,G,B,C,M,Y), QuickFit (modes): Yes, Picture-in-Picture: Yes, Picture-by-Picture: Yes, Low Blue Light: Yes, HDCP support: Yes, Earphone jack: 3.5mm Mini-Jack, Voltage: 100-240V, 50/60Hz, Power On: <56.84W, Security: Kensington lock, Weight: 12.32Kg, USP: 4K, HDR-10, VESA DisplayHDR 600, 98% DCI-P3, 100% Adobe RGB, 100% sRGB, 84% Rec. 2020, Hardware Calibration???, Key Feature: IPS, 4K UHD, HDMI, DisplayPort, USB Type-C, Stereo Speakers, Height Adjustment, VESA Wall Mounting, Quick Release Stand Design",Black,,3 year,China,Taiwan,1,"Non-glare Display Surface, 14-bit Look-up Table, DICOM Calibration, HDR (High Dynamic Range) Support, 9 Modes ProArt Preset (Adobe RGB Mode/DCI-P3/DICOM/HDR_PQ Rec2020/sRGB Mode/Rec. 709 Mode/Standard Mode/User Mode 1/User Mode 2), 4 Modes Color Temperature Selection, Gamma adjustment, 6-axis Color Adjustment, QuickFit (Alignment Grid/Paper/Ruler/Customization Modes), Picture-in-Picture, Picture-by-Picture, Low Blue Light, HDCP support, 4K HDR Professional Monitor, VESA DisplayHDR 600 certified HDR-10 presents lifelike experience, Exceptional wide color gamut technology provides 98% DCI-P3, 100% Adobe RGB, 100% sRGB and 84% Rec. 2020, color space, pre-calibrated for excellent color accuracy, ASUS ProArt Calibration technology features a 14-bit look-up table (LUT), uniformity compensation and the ability to save color profiles on the monitor, Extreme clarity, superior contrast, A brighter, more lifelike viewing experience, True-to-life Color, Wide Color Gamut Technology, High Color Fidelity for Truly Expressive Hues, ASUS ProArt Calibration Technology, QuickFit Virtual Scale, Protect eyes with ASUS Eye Care technology, Ultra-low Blue Light Monitor, Flicker-free Technology, Ergonomic Design","735 x 615 x 240mm (with Stand), 734.4 x 431 x 66.85mm (without Stand)",3,16:9,,,"1 x USB3.0 Type-C (Upstream), 5 x USB3.0 Type-A (Downstream)",,,,,154070,144000
122,LG 34WK95U-W,Regular,34,Widescreen,5K WUHD UltraWide Nano IPS LED,5120x2160 (WxH) 5K WUHD,5ms (Gray to Gray),,178 degree (H & V),,450cd/m2,1200:1 (Typical),"Panel Type: Nano IPS, Color Gamut (CIE1931): DCI-P3 98% (Typ), Color Depth (Number of Colors): 10bits (8bit+A-FRC), Pixel Pitch (mm): 0.0518 (H) x 0.1554 (V) mm, Headphone Out: Yes, ThunderBolt: Thunderbolt 3, Power Type: Built-in Power, Output: 85W, Normal On (EPA Typ.): 54.78W, Normal On (factory out condition Typ.): 80W, HDCP: 2.2, HDR (High Dynamic Range): VESA HDR 600, Speaker Type: Rich Bass",White,,3 year,,,1,"(Non HDR Contents) Custom/Vivid/Reader/Cinema/HDR Effect/sRGB/DCI-P3 REC2020/EBU/REC709/SMPTE-C/Color Weakness (HDR 10) HDR Vivid, HDR Cinema , HDR Game, HDR Standard, Full Wide, Original, Cinema1, Cinema2, Just scan, 2.2 HDCP, 34 Inch UltraWide Nano IPS Display, Thunderbolt 3, HDR Support, 4-Side Virtually Borderless Design, Color Range with DCI-P3, Delicate Color Expression, OnScreen Control, Virtually Borderless Design",,2,21:9,,2 x 5Watt,"1 x USB Type-C, 1 x USB Up-stream, 2 x USB Down-stream",,,,Yes,202900,188000
